beta,tau,mcrit,m_front,width,finite,valid,tau_onset,delta_tau_from_onset,abs_offset
2.0,2.6,-3.4,-3.1030001268890994,0.5466047263939517,True,True,0.15000000000000002,2.45,0.2969998731109005
2.0,2.6500000000000004,-3.53,-3.252859154343306,0.5676915833706297,True,True,0.15000000000000002,2.5000000000000004,0.2771408456566937
2.0,2.7,-3.725,-3.422889906200345,0.5765208009728933,True,True,0.15000000000000002,2.5500000000000003,0.30211009379965503
2.0,2.75,-3.92,-3.6042904083404017,0.5841269114205322,True,True,0.15000000000000002,2.6,0.3157095916595982
2.0,2.8000000000000003,-4.115,-3.79966114142254,0.587823213561178,True,True,0.15000000000000002,2.6500000000000004,0.31533885857746036
2.0,2.85,-4.3100000000000005,-4.004194259600867,0.5896071115920443,True,True,0.15000000000000002,2.7,0.30580574039913344
2.0,2.9000000000000004,-4.57,-4.213563767312517,0.5846951149627868,True,True,0.15000000000000002,2.7500000000000004,0.35643623268748303
2.0,2.95,-4.765,-4.416766640384714,0.5730235540226788,True,True,0.15000000000000002,2.8000000000000003,0.34823335961528556
2.0,3.0,-5.025,-4.580010004608828,0.5379880831515182,True,True,0.15000000000000002,2.85,0.4449899953911727
5.0,0.0,-0.34499999999999975,,,False,False,0.15000000000000002,-0.15000000000000002,
5.0,0.05,-0.41000000000000014,,,False,False,0.15000000000000002,-0.10000000000000002,
5.0,0.1,-0.41000000000000014,,,False,False,0.15000000000000002,-0.05000000000000002,
5.0,0.15000000000000002,-0.41000000000000014,-0.26454247474673986,0.17451224265358575,True,False,0.15000000000000002,0.0,0.14545752525326028
5.0,0.2,-0.41000000000000014,-0.328882347481208,0.180646854136695,True,False,0.15000000000000002,0.04999999999999999,0.08111765251879216
5.0,0.25,-0.41000000000000014,-0.3904150395931627,0.1789927947574344,True,False,0.15000000000000002,0.09999999999999998,0.019584960406837437
5.0,0.30000000000000004,-0.47499999999999964,-0.44462569059918133,0.16867100456076087,True,False,0.15000000000000002,0.15000000000000002,0.03037430940081831
5.0,0.35000000000000003,-0.47499999999999964,-0.4997763584781455,0.15906295717954838,True,False,0.15000000000000002,0.2,0.024776358478145855
5.0,0.4,-0.47499999999999964,-0.5503332115844577,0.14953031019671092,True,False,0.15000000000000002,0.25,0.07533321158445805
5.0,0.45,-0.47499999999999964,-0.5960150588905445,0.14231667833871103,True,False,0.15000000000000002,0.3,0.12101505889054487
5.0,0.5,-0.54,-0.6385848571492396,0.13846004166721226,True,False,0.15000000000000002,0.35,0.09858485714923959
5.0,0.55,-0.54,-0.6755731392074432,0.13807493384466069,True,False,0.15000000000000002,0.4,0.13557313920744318
5.0,0.6000000000000001,-0.54,-0.7083090875927094,0.1379224868489263,True,False,0.15000000000000002,0.45000000000000007,0.16830908759270935
5.0,0.65,-0.54,-0.737434228680767,0.1364411454253481,True,False,0.15000000000000002,0.5,0.197434228680767
5.0,0.7000000000000001,-0.6049999999999995,-0.7651345941693692,0.13669024345018527,True,False,0.15000000000000002,0.55,0.1601345941693697
5.0,0.75,-0.6049999999999995,-0.7896427212505835,0.13292241214802178,True,False,0.15000000000000002,0.6,0.184642721250584
5.0,0.8,-0.6049999999999995,-0.8130785106128544,0.128713529120672,True,False,0.15000000000000002,0.65,0.20807851061285487
5.0,0.8500000000000001,-0.6699999999999999,-0.8359420592045327,0.12549291325053344,True,False,0.15000000000000002,0.7000000000000001,0.16594205920453275
5.0,0.9,-0.6699999999999999,-0.8579228444624253,0.12007930330418812,True,False,0.15000000000000002,0.75,0.18792284446242535
5.0,0.9500000000000001,-0.7349999999999994,-0.8793685176614456,0.11541445729363431,True,False,0.15000000000000002,0.8,0.1443685176614462
5.0,1.0,-0.7349999999999994,-0.9023039819417467,0.11020991648948907,True,False,0.15000000000000002,0.85,0.16730398194174723
5.0,1.05,-0.7999999999999998,-0.9269080538154684,0.10555567221646671,True,False,0.15000000000000002,0.9,0.12690805381546855
5.0,1.1,-0.7999999999999998,-0.9527716573096651,0.10186971679663077,True,False,0.15000000000000002,0.9500000000000001,0.15277165730966524
5.0,1.1500000000000001,-0.8650000000000002,-0.9794626060788304,0.09944721656431806,True,False,0.15000000000000002,1.0,0.11446260607883019
5.0,1.2000000000000002,-0.8650000000000002,-1.009976353698928,0.09753126859573896,True,False,0.15000000000000002,1.0500000000000003,0.1449763536989277
5.0,1.25,-0.9299999999999997,-1.0411423550485694,0.0967698658511656,True,False,0.15000000000000002,1.1,0.11114235504856973
5.0,1.3,-0.9950000000000001,-1.0747213606510337,0.09654914599441129,True,False,0.15000000000000002,1.15,0.07972136065103363
5.0,1.35,-0.9950000000000001,-1.1130180754134456,0.09674918969026707,True,False,0.15000000000000002,1.2000000000000002,0.11801807541344544
5.0,1.4000000000000001,-1.0599999999999996,-1.1525903805979338,0.09820410047471467,True,False,0.15000000000000002,1.25,0.09259038059793423
5.0,1.4500000000000002,-1.125,-1.1971454744267762,0.09985759819033078,True,False,0.15000000000000002,1.3000000000000003,0.07214547442677621
5.0,1.5,-1.1899999999999995,-1.2425282316453505,0.10251602203778648,True,False,0.15000000000000002,1.35,0.05252823164535103
5.0,1.55,-1.1899999999999995,-1.2931839343999254,0.10468827874767953,True,False,0.15000000000000002,1.4,0.1031839343999259
5.0,1.6,-1.255,-1.3428077897072366,0.1078574972052827,True,False,0.15000000000000002,1.4500000000000002,0.08780778970723668
5.0,1.6500000000000001,-1.3200000000000003,-1.3943595546073269,0.11114048036348463,True,False,0.15000000000000002,1.5,0.07435955460732657
